"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"Addict4269", Zenyte
"Ramir", Zenyte
"IM Pandi", Onyx
"LimeFIT", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"Tauhdrik", Dragonstone
"WsInTheShat", Dragonstone
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"0liwn", Diamond
"m0nkf1sh", Diamond
"g humbie", Diamond
"Battle Boost", Diamond
"Mr Fortune", Diamond
"Iron Revoka", Ruby
"Fe mowenthu", Ruby
"IronTilx", Ruby
"Flarpology", Ruby
"IronJethide", Ruby
"Kyaandere", Ruby
"Disabled FE", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Zerotonine", Emerald
"Kebab Flow", Emerald
"PancakePoet", Emerald
"ghosttoy2", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Steely Lamb", Sapphire
"Optimel", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"IamIronStorm", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"1Hbandit", Sapphire
"DI8S", RedTopaz
"MlLFuker", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
