"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"Ramir", Onyx
"IM Pandi", Onyx
"LimeFIT", Onyx
"FerrumElite", Onyx
"Addict4269", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Tauhdrik", Dragonstone
"7800X3D", Diamond
"Dizzy Pog", Diamond
"gorlai", Diamond
"TheWr0ngname", Diamond
"m0nkf1sh", Diamond
"Mr Fortune", Diamond
"g humbie", Diamond
"0liwn", Diamond
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Foxys", Ruby
"Kyaandere", Ruby
"IronJethide", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Battle Boost", Emerald
"IronTilx", Emerald
"Disabled FE", Emerald
"Zerotonine", Emerald
"Kebab Flow", Emerald
"Iron Revoka", Emerald
"GIM Hasson", Emerald
"CosmicStairs", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"ghosttoy2", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Optimel", Sapphire
"Steely Lamb", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"Harglet", Sapphire
"GIM Tintti", Sapphire
"Complex Air", Sapphire
"MrSlingshot", Sapphire
"Kheldwin", Sapphire
"GIM Lantti", Sapphire
"1Hbandit", RedTopaz
"DI8S", RedTopaz
"Smol Loan", RedTopaz
"BobUnlimited", RedTopaz
"MlLFuker", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"FoxyFrogHog", RedTopaz
