"Reporting U", Soul
"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"Ramir", Onyx
"LimeFIT", Onyx
"FerrumElite", Onyx
"xPandi", Onyx
"Addict4269", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Tauhdrik", Diamond
"7800X3D", Diamond
"Avoids Sun", Diamond
"gorlai", Diamond
"TheWr0ngname", Diamond
"m0nkf1sh", Diamond
"Dizzy Pog", Diamond
"Mr Fortune", Diamond
"g humbie", Diamond
"0liwn", Diamond
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Foxys", Ruby
"Kyaandere", Ruby
"IronJethide", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Battle Boost", Emerald
"IronTilx", Emerald
"Zerotonine", Emerald
"Disabled FE", Emerald
"CosmicStairs", Emerald
"Kebab Flow", Emerald
"Iron Revoka", Emerald
"GIM Hasson", Emerald
"TooKlean", Emerald
"Junne", Emerald
"Windows Grp", Sapphire
"ghosttoy2", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Optimel", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Tintti", Sapphire
"Steely Lamb", Sapphire
"Complex Air", Sapphire
"MrSlingshot", Sapphire
"Kheldwin", Sapphire
"GIM Lantti", Sapphire
"Harglet", Sapphire
"1Hbandit", RedTopaz
"DI8S", RedTopaz
"Smol Loan", RedTopaz
"BobUnlimited", RedTopaz
"SkippyKitty", RedTopaz
"MlLFuker", RedTopaz
"IronNemoko", RedTopaz
"FoxyFrogHog", RedTopaz
