"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"addict4242", Zenyte
"IM Pandi", Zenyte
"Ramir", Zenyte
"LimeFIT", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"Fe ndrs", Onyx
"Catalystt", Onyx
"BlazedMilk", Onyx
"Tauhdrik", Onyx
"Battle Boost", Onyx
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"WiizBoom", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Fresh Panty", Dragonstone
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"0liwn", Diamond
"IronTilx", Diamond
"g humbie", Diamond
"m0nkf1sh", Diamond
"Iron Revoka", Diamond
"Mr Fortune", Diamond
"GIM Mawija", Diamond
"Fe mowenthu", Ruby
"Kebab Flow", Ruby
"Disabled FE", Ruby
"IronJethide", Ruby
"FoxyFrogDog", Ruby
"Kyaandere", Ruby
"IamIronStorm", Ruby
"ironpmb", Ruby
"Fe Alighieri", Ruby
"Rorkum", Ruby
"Zerotonine", Emerald
"ghosttoy2", Emerald
"Steely Lamb", Emerald
"PancakePoet", Emerald
"Junne", Emerald
"rat eggy", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"GIM Tintti", Sapphire
"GIM Lantti", Sapphire
"Harglet", Sapphire
"Optimel", Sapphire
"nEtKeEpEr", Sapphire
"im2ndss", Sapphire
"SmokeDatZaZa", Sapphire
"1Hbandit", Sapphire
"DI8S", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Liq", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
"WarmDogShit", RedTopaz
"NeutralBob", RedTopaz
