"LivEviL K", Blood
"Letharg", Death
"grn bussin", Death
"Squampton", Death
"Ramir", Zenyte
"Addict4269", Onyx
"IM Pandi", Onyx
"LimeFIT", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"Tauhdrik", Dragonstone
"WsInTheShat", Dragonstone
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"0liwn", Diamond
"m0nkf1sh", Diamond
"g humbie", Diamond
"Battle Boost", Diamond
"Mr Fortune", Diamond
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"IronTilx", Ruby
"Iron Revoka", Ruby
"Flarpology", Ruby
"IronJethide", Ruby
"Kyaandere", Ruby
"ironpmb", Ruby
"Disabled FE", Ruby
"Rorkum", Ruby
"GIM Hasson", Emerald
"Zerotonine", Emerald
"Kebab Flow", Emerald
"PancakePoet", Emerald
"ghosttoy2", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Steely Lamb", Sapphire
"Optimel", Sapphire
"Harglet", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Tintti", Sapphire
"IamIronStorm", Sapphire
"Complex Air", Sapphire
"Kheldwin", Sapphire
"MrSlingshot", Sapphire
"GIM Lantti", Sapphire
"1Hbandit", Sapphire
"DI8S", RedTopaz
"MlLFuker", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
