"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"Addict4269", Zenyte
"Ramir", Zenyte
"IM Pandi", Zenyte
"LimeFIT", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"Catalystt", Onyx
"BlazedMilk", Onyx
"Tauhdrik", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"Battle Boost", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Fresh Panty", Diamond
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"0liwn", Diamond
"g humbie", Diamond
"m0nkf1sh", Diamond
"IronTilx", Diamond
"Mr Fortune", Diamond
"Iron Revoka", Diamond
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Kebab Flow", Ruby
"Disabled FE", Ruby
"IronJethide", Ruby
"Foxys", Ruby
"Kyaandere", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Fe Alighieri", Emerald
"Zerotonine", Emerald
"IamIronStorm", Emerald
"ghosttoy2", Emerald
"Steely Lamb", Emerald
"PancakePoet", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"rat eggy", Sapphire
"Jaegerjaqs", Sapphire
"Optimel", Sapphire
"Harglet", Sapphire
"nEtKeEpEr", Sapphire
"GIM Tintti", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Lantti", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"im2ndss", Sapphire
"1Hbandit", Sapphire
"DI8S", Sapphire
"MlLFuker", RedTopaz
"GIM Liq", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
"WarmDogShit", RedTopaz
