"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"addict4242", Zenyte
"IM Pandi", Zenyte
"Ramir", Zenyte
"erknn", Onyx
"LimeFIT", Onyx
"BigBobOakley", Onyx
"Catalystt", Onyx
"Battle Boost", Onyx
"Fe ndrs", Onyx
"Tauhdrik", Onyx
"BlazedMilk", Onyx
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Fresh Panty", Dragonstone
"0liwn", Dragonstone
"7800X3D", Diamond
"IronTilx", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"m0nkf1sh", Diamond
"g humbie", Diamond
"Iron Revoka", Diamond
"Mr Fortune", Diamond
"GIM Mawija", Diamond
"Fe mowenthu", Diamond
"Kebab Flow", Ruby
"Disabled FE", Ruby
"IronJethide", Ruby
"IamIronStorm", Ruby
"Fe Alighieri", Ruby
"Kyaandere", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"ghosttoy2", Emerald
"Zerotonine", Emerald
"Steely Lamb", Emerald
"PancakePoet", Emerald
"GIM Tintti", Emerald
"rat eggy", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"GIM Lantti", Sapphire
"Harglet", Sapphire
"im2ndss", Sapphire
"Optimel", Sapphire
"nEtKeEpEr", Sapphire
"1Hbandit", Sapphire
"DI8S", Sapphire
"SmokeDatZaZa", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Liq", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"GIM Jxcob", RedTopaz
"F larp", RedTopaz
"IronNemoko", RedTopaz
"NeutralBob", RedTopaz
