"LivEviL K", Blood
"Letharg", Death
"grn bussin", Death
"Squampton", Death
"Addict4269", Zenyte
"Ramir", Zenyte
"IM Pandi", Onyx
"LimeFIT", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"Tauhdrik", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"Battle Boost", Diamond
"0liwn", Diamond
"m0nkf1sh", Diamond
"g humbie", Diamond
"Mr Fortune", Diamond
"Iron Revoka", Diamond
"IronTilx", Ruby
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Flarpology", Ruby
"IronJethide", Ruby
"Kyaandere", Ruby
"Disabled FE", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Kebab Flow", Emerald
"Zerotonine", Emerald
"PancakePoet", Emerald
"ghosttoy2", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Steely Lamb", Sapphire
"Jaegerjaqs", Sapphire
"IamIronStorm", Sapphire
"Optimel", Sapphire
"Harglet", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Tintti", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Lantti", Sapphire
"1Hbandit", Sapphire
"DI8S", RedTopaz
"MlLFuker", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
"WarmDogShit", RedTopaz
