"Metalrule280", Wrath
"addict4242", Soul
"LivEviL K", Soul
"BobBallistic", Soul
"Letharg", Blood
"erknn", Blood
"Tauhdrik", Zenyte
"LimeFIT", Zenyte
"WiizBoom", Zenyte
"its me bon", Zenyte
"IronTilx", Onyx
"Iron Revoka", Onyx
"Blood Elf", Onyx
"0liwn", Onyx
"IamIronStorm", Onyx
"Dizzy Pog", Onyx
"DottyBirdGIM", Onyx
"g humbie", Onyx
"Kyaandere", Onyx
"7800X3D", Onyx
"Kebab Flow", Onyx
"Fresh Panty", Onyx
"Disabled FE", Dragonstone
"5tuns", Dragonstone
"IM RuneHoon", Dragonstone
"Fe mowenthu", Dragonstone
"WsInTheShat", Dragonstone
"GIM Danny-MZ", Dragonstone
"IronJethide", Dragonstone
"GIM Mawija", Dragonstone
"GIM Lantti", Diamond
"GIM Tintti", Diamond
"rat eggy", Diamond
"nEtKeEpEr", Diamond
"Revoka", Diamond
"m0nkf1sh", Diamond
"Devios", Diamond
"1Hbandit", Diamond
"IM Jewsh", Diamond
"Zerotonine", Diamond
"Ferrosenium", Diamond
"ArmitronOSRS", Diamond
"IMFrosendal", Diamond
"ghosttoy2", Diamond
"Jaegerjaqs", Diamond
"Optimel", Ruby
"Steely Lamb", Ruby
"JunglyBwana", Ruby
"im2ndss", Ruby
"bertbertbert", Ruby
"Rorkum", Ruby
"ironpmb", Ruby
"JungleIron", Emerald
"devilisious", Emerald
"qc_when", Emerald
"Hankieh01", Emerald
"La VileB", Emerald
"Kusanagi0101", Emerald
"Derkies", Emerald
"Dae alt", Emerald
"RavensAsh", Emerald
"Molirac k", Emerald
"Motomachi", Emerald
"IM TOISTO", Emerald
"PancakePoet", Emerald
"Windows Grp", Emerald
"Feyral", Emerald
"Junne", Emerald
"Scablar", Emerald
"biigdaddyyy", Sapphire
"Bolongo luvr", Sapphire
"Iron Moans", Sapphire
"GIM Distheb", Sapphire
"MrSlingshot", Sapphire
"Harpzi", Sapphire
"SmokeDatZaZa", Sapphire
"Complex Air", Sapphire
"Killa Bswarm", Sapphire
"you ni", RedTopaz
"Joch Takeda", RedTopaz
"Bramblet", RedTopaz
"Wetordedlul", RedTopaz
"IMNOGOOOD", RedTopaz
"Smol Loan", RedTopaz
"Aquariumslet", RedTopaz
"SkippyKitty", RedTopaz
"DroneTM", RedTopaz
"Veldmenneke", RedTopaz
"NeutralBob", RedTopaz
