"Reporting U ", Soul
"LivEviL K ", Blood
"Letharg ", Death
"grn bussin ", Death
"Squampton ", Death
"0mny ", Zenyte
"LimeFIT ", Onyx
"FerrumElite ", Onyx
"erknn ", Dragonstone
"xPandi ", Dragonstone
"5tuns ", Dragonstone
"Ramir ", Dragonstone
"BigBobOakley ", Dragonstone
"BlazedMilk ", Dragonstone
"DottyBirdGIM ", Dragonstone
"Catalystt ", Dragonstone
"WsInTheShat ", Dragonstone
"Addict4269 ", Dragonstone
"7800X3D ", Diamond
"m0nkf1sh ", Diamond
"IM RuneHoon ", Diamond
"gorlai ", Diamond
"Mr Fortune ", Diamond
"TheWr0ngname ", Diamond
"Tauhdrik", Diamond
"Dizzy Pog ", Ruby
"g humbie ", Ruby
"AelvarB ", Ruby
"GIM Mawija ", Ruby
"Fe mowenthu ", Ruby
"ironpmb ", Ruby
"lron Harry ", Ruby
"Rorkum ", Ruby
"FoxyPogDog ", Emerald
"ThrillxAgony ", Emerald
"Zerotonine ", Emerald
"IronJethide ", Emerald
"CosmicStairs ", Emerald
"TooKlean ", Emerald
"Windows Grp ", Sapphire
"Feyral ", Sapphire
"Jaegerjaqs ", Sapphire
"Disabled FE ", Sapphire
"IronTilx ", Sapphire
"ghosttoy2 ", Sapphire
"GIM Hasson ", Sapphire
"stefannemoko ", Sapphire
"Optimel ", Sapphire
"nEtKeEpEr ", Sapphire
"SmokeDatZaZa ", Sapphire
"Junne ", Sapphire
"GIM Tintti ", Sapphire
"Complex Air ", Sapphire
"Kebab Flow ", Sapphire
"MrSlingshot ", Sapphire
"Kheldwin ", Sapphire
"Steely Lamb ", Sapphire
"GIM Lantti ", Sapphire
"Harglet ", RedTopaz
"Battle Boost ", RedTopaz
"Smol Loan ", RedTopaz
"1Hbandit", RedTopaz
"BobUnlimited ", RedTopaz
"SkippyKitty ", RedTopaz
"IronNemoko ", RedTopaz
