"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"Ramir", Onyx
"LimeFIT", Onyx
"FerrumElite", Onyx
"xPandi", Onyx
"Addict4269", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Tauhdrik", Diamond
"7800X3D", Diamond
"TheWr0ngname", Diamond
"gorlai", Diamond
"Dizzy Pog", Diamond
"m0nkf1sh", Diamond
"Mr Fortune", Diamond
"g humbie", Diamond
"0liwn", Diamond
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Foxys", Ruby
"Kyaandere", Ruby
"IronJethide", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"IronTilx", Emerald
"Battle Boost", Emerald
"Zerotonine", Emerald
"Disabled FE", Emerald
"CosmicStairs", Emerald
"Iron Revoka", Emerald
"Kebab Flow", Emerald
"GIM Hasson", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"ghosttoy2", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Optimel", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"Steely Lamb", Sapphire
"GIM Tintti", Sapphire
"Complex Air", Sapphire
"MrSlingshot", Sapphire
"Kheldwin", Sapphire
"GIM Lantti", Sapphire
"Harglet", Sapphire
"1Hbandit", RedTopaz
"DI8S", RedTopaz
"Smol Loan", RedTopaz
"BobUnlimited", RedTopaz
"SkippyKitty", RedTopaz
"MlLFuker", RedTopaz
"IronNemoko", RedTopaz
"FoxyFrogHog", RedTopaz
