"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"Ramir", Onyx
"IM Pandi", Onyx
"Addict4269", Onyx
"LimeFIT", Onyx
"FerrumElite", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Tauhdrik", Dragonstone
"7800X3D", Diamond
"Dizzy Pog", Diamond
"gorlai", Diamond
"TheWr0ngname", Diamond
"m0nkf1sh", Diamond
"Mr Fortune", Diamond
"g humbie", Diamond
"0liwn", Diamond
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"FoxyPogDog", Ruby
"Kyaandere", Ruby
"IronJethide", Ruby
"Battle Boost", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"IronTilx", Emerald
"Disabled FE", Emerald
"Zerotonine", Emerald
"Iron Revoka", Emerald
"GIM Hasson", Emerald
"Kebab Flow", Emerald
"CosmicStairs", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"ghosttoy2", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Steely Lamb", Sapphire
"Optimel", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"Harglet", Sapphire
"GIM Tintti", Sapphire
"Complex Air", Sapphire
"Kheldwin", Sapphire
"MrSlingshot", Sapphire
"GIM Lantti", Sapphire
"1Hbandit", RedTopaz
"DI8S", RedTopaz
"Smol Loan", RedTopaz
"BobUnlimited", RedTopaz
"MlLFuker", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"FoxyFrogHog", RedTopaz
