"LivEviL K", Soul
"addict4242", Blood
"Letharg", Blood
"itsPandi", Death
"erknn", Death
"Tauhdrik", Zenyte
"LimeFIT", Zenyte
"Catalystt", Onyx
"DottyBirdGIM", Onyx
"0liwn", Onyx
"Iron Revoka", Onyx
"Kyaandere", Onyx
"IronTilx", Onyx
"IamIronStorm", Onyx
"Fresh Panty", Dragonstone
"Dizzy Pog", Dragonstone
"Kebab Flow", Dragonstone
"5tuns", Dragonstone
"7800X3D", Dragonstone
"IM RuneHoon", Dragonstone
"g humbie", Dragonstone
"WsInTheShat", Dragonstone
"Disabled FE", Dragonstone
"Fe mowenthu", Dragonstone
"Fe Alighieri", Dragonstone
"IronJethide", Diamond
"TheWr0ngname", Diamond
"rat eggy", Diamond
"GIM Mawija", Diamond
"Revoka", Diamond
"nEtKeEpEr", Diamond
"m0nkf1sh", Diamond
"GIM Danny-MZ", Diamond
"GIM Tintti", Diamond
"1Hbandit", Ruby
"ghosttoy2", Ruby
"Zerotonine", Ruby
"GIM Lantti", Ruby
"im2ndss", Ruby
"Liq GIM", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Steely Lamb", Emerald
"Optimel", Emerald
"Dae alt", Emerald
"PancakePoet", Emerald
"Junne", Emerald
"Feyral", Emerald
"Windows Grp", Sapphire
"Molirac k", Sapphire
"Jaegerjaqs", Sapphire
"JunglyBwana", Sapphire
"SmokeDatZaZa", Sapphire
"MrSlingshot", Sapphire
"Complex Air", Sapphire
"BobUnlimited", RedTopaz
"Wetordedlul", RedTopaz
"IMNOGOOOD", RedTopaz
"Smol Loan", RedTopaz
"Aquariumslet", RedTopaz
"SkippyKitty", RedTopaz
"Fe Pandi", RedTopaz
"DroneTM", RedTopaz
"Veldmenneke", RedTopaz
"NeutralBob", RedTopaz
