"Reporting U ", Soul
"LivEviL K ", Blood
"Letharg ", Death
"grn bussin ", Death
"Squampton ", Death
"LimeFIT ", Onyx
"FerrumElite ", Onyx
"Ramir ", Onyx
"erknn ", Onyx
"xPandi ", Dragonstone
"BigBobOakley ", Dragonstone
"BlazedMilk ", Dragonstone
"5tuns ", Dragonstone
"Marsh Kebab ", Dragonstone
"Addict4269 ", Dragonstone
"DottyBirdGIM ", Dragonstone
"Catalystt ", Dragonstone
"WsInTheShat ", Dragonstone
"7800X3D ", Diamond
"Avoids Sun ", Diamond
"IM RuneHoon ", Diamond
"m0nkf1sh ", Diamond
"gorlai ", Diamond
"Tauhdrik ", Diamond
"Mr Fortune ", Diamond
"TheWr0ngname ", Diamond
"Dizzy Pog ", Ruby
"g humbie ", Ruby
"AelvarB ", Ruby
"GIM Mawija ", Ruby
"Fe mowenthu ", Ruby
"FoxyPogDog ", Ruby
"ironpmb ", Ruby
"Rorkum ", Ruby
"IronJethide ", Emerald
"Zerotonine ", Emerald
"CosmicStairs ", Emerald
"TooKlean ", Emerald
"Windows Grp ", Sapphire
"Feyral ", Sapphire
"Disabled FE ", Sapphire
"Jaegerjaqs ", Sapphire
"IronTilx ", Sapphire
"ghosttoy2 ", Sapphire
"GIM Hasson ", Sapphire
"stefannemoko ", Sapphire
"Optimel ", Sapphire
"Junne ", Sapphire
"Kebab Flow ", Sapphire
"nEtKeEpEr ", Sapphire
"SmokeDatZaZa ", Sapphire
"GIM Tintti ", Sapphire
"Complex Air ", Sapphire
"MrSlingshot ", Sapphire
"Kheldwin ", Sapphire
"Steely Lamb ", Sapphire
"GIM Lantti ", Sapphire
"Battle Boost ", Sapphire
"Harglet ", Sapphire
"Smol Loan ", RedTopaz
"1Hbandit ", RedTopaz
"BobUnlimited ", RedTopaz
"SkippyKitty ", RedTopaz
"Fast Mi ", RedTopaz
"IronNemoko ", RedTopaz
"DI8S ", RedTopaz
