"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"Rex IM", Death
"addict4242", Zenyte
"IM Pandi", Zenyte
"Ramir", Zenyte
"erknn", Zenyte
"LimeFIT", Onyx
"BigBobOakley", Onyx
"Battle Boost", Onyx
"Catalystt", Onyx
"Fe ndrs", Onyx
"Tauhdrik", Onyx
"BlazedMilk", Onyx
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"Fresh Panty", Dragonstone
"WsInTheShat", Dragonstone
"0liwn", Dragonstone
"IronTilx", Diamond
"7800X3D", Diamond
"Iron Revoka", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"g humbie", Diamond
"m0nkf1sh", Diamond
"GIM Mawija", Diamond
"Mr Fortune", Diamond
"IamIronStorm", Diamond
"Fe mowenthu", Diamond
"Kebab Flow", Diamond
"Disabled FE", Diamond
"Kyaandere", Ruby
"IronJethide", Ruby
"Fe Alighieri", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"ghosttoy2", Emerald
"Zerotonine", Emerald
"rat eggy", Emerald
"GIM Tintti", Emerald
"Steely Lamb", Emerald
"PancakePoet", Emerald
"GIM Lantti", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"im2ndss", Sapphire
"Jaegerjaqs", Sapphire
"nEtKeEpEr", Sapphire
"DI8S", Sapphire
"1Hbandit", Sapphire
"Harglet", Sapphire
"Optimel", Sapphire
"SmokeDatZaZa", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Liq", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"GIM Jxcob", RedTopaz
"NeutralBob", RedTopaz
