"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"Addict4269", Zenyte
"Ramir", Zenyte
"IM Pandi", Zenyte
"LimeFIT", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"Catalystt", Onyx
"BlazedMilk", Onyx
"5tuns", Dragonstone
"Tauhdrik", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"Battle Boost", Dragonstone
"WsInTheShat", Dragonstone
"Fresh Panty", Diamond
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"0liwn", Diamond
"g humbie", Diamond
"m0nkf1sh", Diamond
"IronTilx", Diamond
"Mr Fortune", Diamond
"Iron Revoka", Diamond
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Kebab Flow", Ruby
"Disabled FE", Ruby
"Foxys", Ruby
"IronJethide", Ruby
"Kyaandere", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Fe Alighieri", Emerald
"Zerotonine", Emerald
"ghosttoy2", Emerald
"IamIronStorm", Emerald
"PancakePoet", Emerald
"Steely Lamb", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"rat eggy", Sapphire
"Optimel", Sapphire
"Harglet", Sapphire
"nEtKeEpEr", Sapphire
"GIM Tintti", Sapphire
"SmokeDatZaZa", Sapphire
"Complex Air", Sapphire
"GIM Lantti", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"im2ndss", Sapphire
"1Hbandit", Sapphire
"DI8S", Sapphire
"MlLFuker", RedTopaz
"BobUnlimited", RedTopaz
"GIM Liq", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
"WarmDogShit", RedTopaz
