"LivEviL K", Blood
"grn bussin", Death
"Letharg", Death
"Squampton", Death
"0mny", Zenyte
"LimeFIT", Onyx
"FerrumElite", Onyx
"erknn", Dragonstone
"xPandi", Dragonstone
"5tuns", Dragonstone
"BigBobOakley", Dragonstone
"BlazedMilk", Dragonstone
"DottyBirdGIM", Dragonstone
"Catalystt", Dragonstone
"Ramir", Dragonstone
"WsInTheShat", Dragonstone
"Addict4269", Dragonstone
"7800X3D", Diamond
"m0nkf1sh", Diamond
"IM RuneHoon", Diamond
"gorlai", Diamond
"Mr Fortune", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Ruby
"g humbie", Ruby
"AelvarB", Ruby
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"ironpmb", Ruby
"lron Harry", Ruby
"Rorkum", Ruby
"FoxyPogDog", Emerald
"ThrillxAgony", Emerald
"Zerotonine", Emerald
"CosmicStairs", Emerald
"IronJethide", Emerald
"TooKlean", Emerald
"Windows Grp", Emerald
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Disabled FE", Sapphire
"IronTilx", Sapphire
"stefannemoko", Sapphire
"Optimel", Sapphire
"GIM Hasson", Sapphire
"ghosttoy2", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Tintti", Sapphire
"Complex Air", Sapphire
"Kebab Flow", Sapphire
"Junne", Sapphire
"MrSlingshot", Sapphire
"Kheldwin", Sapphire
"GIM Lantti", Sapphire
"Steely Lamb", Sapphire
"Harglet", RedTopaz
"Battle Boost", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"BobUnlimited", RedTopaz
"IronNemoko", RedTopaz
