"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"Ramir", Onyx
"Addict4269", Onyx
"IM Pandi", Onyx
"LimeFIT", Onyx
"FerrumElite", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Tauhdrik", Dragonstone
"7800X3D", Diamond
"Dizzy Pog", Diamond
"TheWr0ngname", Diamond
"gorlai", Diamond
"m0nkf1sh", Diamond
"0liwn", Diamond
"Mr Fortune", Diamond
"g humbie", Diamond
"Battle Boost", Ruby
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Flarpology", Ruby
"Kyaandere", Ruby
"IronJethide", Ruby
"IronTilx", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Disabled FE", Emerald
"Iron Revoka", Emerald
"GIM Hasson", Emerald
"Zerotonine", Emerald
"Kebab Flow", Emerald
"Junne", Emerald
"ghosttoy2", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Steely Lamb", Sapphire
"Optimel", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"Harglet", Sapphire
"GIM Tintti", Sapphire
"Complex Air", Sapphire
"MrSlingshot", Sapphire
"Kheldwin", Sapphire
"GIM Lantti", Sapphire
"IamIronStorm", Sapphire
"1Hbandit", RedTopaz
"DI8S", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"MlLFuker", RedTopaz
"SkippyKitty", RedTopaz
"F larp", RedTopaz
"IronNemoko", RedTopaz
