"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"Addict4269", Zenyte
"Ramir", Zenyte
"IM Pandi", Zenyte
"LimeFIT", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Onyx
"5tuns", Dragonstone
"Tauhdrik", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Battle Boost", Dragonstone
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"0liwn", Diamond
"m0nkf1sh", Diamond
"g humbie", Diamond
"IronTilx", Diamond
"Mr Fortune", Diamond
"Iron Revoka", Diamond
"GIM Mawija", Ruby
"Kebab Flow", Ruby
"Fe mowenthu", Ruby
"Disabled FE", Ruby
"Foxys", Ruby
"IronJethide", Ruby
"Kyaandere", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Zerotonine", Emerald
"ghosttoy2", Emerald
"PancakePoet", Emerald
"Steely Lamb", Emerald
"Junne", Emerald
"IamIronStorm", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Optimel", Sapphire
"Harglet", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Tintti", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Lantti", Sapphire
"1Hbandit", Sapphire
"DI8S", Sapphire
"MlLFuker", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
"WarmDogShit", RedTopaz
