"Reporting U ", Soul
"LivEviL K ", Blood
"Letharg ", Death
"grn bussin ", Death
"Squampton ", Death
"LimeFIT ", Onyx
"FerrumElite ", Onyx
"erknn ", Onyx
"Ramir ", Dragonstone
"xPandi ", Dragonstone
"BigBobOakley ", Dragonstone
"BlazedMilk ", Dragonstone
"5tuns ", Dragonstone
"DottyBirdGIM ", Dragonstone
"Catalystt ", Dragonstone
"Addict4269 ", Dragonstone
"WsInTheShat ", Dragonstone
"7800X3D ", Diamond
"m0nkf1sh ", Diamond
"IM RuneHoon ", Diamond
"gorlai ", Diamond
"Mr Fortune ", Diamond
"TheWr0ngname ", Diamond
"Tauhdrik", Diamond
"Dizzy Pog ", Ruby
"AelvarB ", Ruby
"g humbie ", Ruby
"GIM Mawija ", Ruby
"Fe mowenthu ", Ruby
"ironpmb ", Ruby
"Rorkum ", Ruby
"FoxyPogDog ", Emerald
"ThrillxAgony ", Emerald
"Zerotonine ", Emerald
"IronJethide ", Emerald
"CosmicStairs ", Emerald
"TooKlean ", Emerald
"Windows Grp ", Sapphire
"Feyral ", Sapphire
"Jaegerjaqs ", Sapphire
"Disabled FE ", Sapphire
"IronTilx ", Sapphire
"GIM Hasson ", Sapphire
"ghosttoy2 ", Sapphire
"stefannemoko ", Sapphire
"Optimel ", Sapphire
"Junne ", Sapphire
"nEtKeEpEr ", Sapphire
"Kebab Flow ", Sapphire
"SmokeDatZaZa ", Sapphire
"GIM Tintti ", Sapphire
"Complex Air ", Sapphire
"MrSlingshot ", Sapphire
"Kheldwin ", Sapphire
"Steely Lamb ", Sapphire
"GIM Lantti ", Sapphire
"Battle Boost ", RedTopaz
"Harglet ", RedTopaz
"Smol Loan ", RedTopaz
"1Hbandit", RedTopaz
"SkippyKitty ", RedTopaz
"BobUnlimited ", RedTopaz
"IronNemoko ", RedTopaz
"DI8S ", RedTopaz
