"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"Addict4269", Zenyte
"IM Pandi", Zenyte
"Ramir", Zenyte
"LimeFIT", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"Catalystt", Onyx
"BlazedMilk", Onyx
"Tauhdrik", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"Battle Boost", Dragonstone
"IM RuneHoon", Dragonstone
"Wiizboom", Dragonstone
"WsInTheShat", Dragonstone
"Fresh Panty", Diamond
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"0liwn", Diamond
"g humbie", Diamond
"m0nkf1sh", Diamond
"IronTilx", Diamond
"Mr Fortune", Diamond
"Iron Revoka", Diamond
"GIM Mawija", Ruby
"Kebab Flow", Ruby
"Fe mowenthu", Ruby
"Disabled FE", Ruby
"IronJethide", Ruby
"FoxyFrogDog", Ruby
"Kyaandere", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Fe Alighieri", Emerald
"IamIronStorm", Emerald
"Zerotonine", Emerald
"ghosttoy2", Emerald
"Steely Lamb", Emerald
"PancakePoet", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"rat eggy", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Optimel", Sapphire
"Harglet", Sapphire
"GIM Tintti", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Lantti", Sapphire
"Complex Air", Sapphire
"im2ndss", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"1Hbandit", Sapphire
"DI8S", Sapphire
"GIM Liq", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
"WarmDogShit", RedTopaz
"NeutralBob", RedTopaz
