"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"Rex IM", Zenyte
"addict4242", Zenyte
"IM Pandi", Zenyte
"Ramir", Zenyte
"erknn", Onyx
"LimeFIT", Onyx
"BigBobOakley", Onyx
"Catalystt", Onyx
"Battle Boost", Onyx
"Fe ndrs", Onyx
"Tauhdrik", Onyx
"BlazedMilk", Onyx
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Fresh Panty", Dragonstone
"0liwn", Dragonstone
"IronTilx", Diamond
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"g humbie", Diamond
"m0nkf1sh", Diamond
"Iron Revoka", Diamond
"GIM Mawija", Diamond
"Mr Fortune", Diamond
"Fe mowenthu", Diamond
"Kebab Flow", Diamond
"Disabled FE", Ruby
"IamIronStorm", Ruby
"IronJethide", Ruby
"Kyaandere", Ruby
"Fe Alighieri", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"ghosttoy2", Emerald
"Zerotonine", Emerald
"Steely Lamb", Emerald
"PancakePoet", Emerald
"GIM Tintti", Emerald
"rat eggy", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"GIM Lantti", Sapphire
"im2ndss", Sapphire
"Harglet", Sapphire
"nEtKeEpEr", Sapphire
"Optimel", Sapphire
"1Hbandit", Sapphire
"DI8S", Sapphire
"SmokeDatZaZa", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Liq", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"GIM Jxcob", RedTopaz
"IronNemoko", RedTopaz
"NeutralBob", RedTopaz
