"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"Rex IM", Death
"addict4242", Zenyte
"IM Pandi", Zenyte
"Ramir", Zenyte
"erknn", Onyx
"LimeFIT", Onyx
"BigBobOakley", Onyx
"Battle Boost", Onyx
"Fe ndrs", Onyx
"Tauhdrik", Onyx
"BlazedMilk", Onyx
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Fresh Panty", Dragonstone
"0liwn", Dragonstone
"IronTilx", Diamond
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Iron Revoka", Diamond
"g humbie", Diamond
"m0nkf1sh", Diamond
"GIM Mawija", Diamond
"Mr Fortune", Diamond
"Fe mowenthu", Diamond
"Kebab Flow", Diamond
"IamIronStorm", Diamond
"IronJethide", Ruby
"Kyaandere", Ruby
"Fe Alighieri", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"ghosttoy2", Emerald
"Zerotonine", Emerald
"Steely Lamb", Emerald
"rat eggy", Emerald
"GIM Tintti", Emerald
"PancakePoet", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"GIM Lantti", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"im2ndss", Sapphire
"nEtKeEpEr", Sapphire
"Harglet", Sapphire
"Optimel", Sapphire
"1Hbandit", Sapphire
"SmokeDatZaZa", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Liq", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"GIM Jxcob", RedTopaz
"NeutralBob", RedTopaz
