"LivEviL K", Blood
"Squampton", Death
"addict4242", Death
"erknn", Zenyte
"Battle Boost", Onyx
"BigBobOakley", Onyx
"Catalystt", Onyx
"Tauhdrik", Onyx
"BlazedMilk", Onyx
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"0liwn", Dragonstone
"IM RuneHoon", Dragonstone
"Fresh Panty", Dragonstone
"WsInTheShat", Dragonstone
"IronTilx", Dragonstone
"Iron Revoka", Dragonstone
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"g humbie", Diamond
"Revoka", Diamond
"IamIronStorm", Diamond
"m0nkf1sh", Diamond
"IronJethide", Diamond
"GIM Mawija", Diamond
"Fe mowenthu", Diamond
"Mr Fortune", Diamond
"Fe Alighieri", Diamond
"Disabled FE", Diamond
"ironpmb", Ruby
"Rorkum", Ruby
"ghosttoy2", Emerald
"rat eggy", Emerald
"GIM Tintti", Emerald
"Zerotonine", Emerald
"Steely Lamb", Emerald
"GIM Lantti", Emerald
"PancakePoet", Emerald
"im2ndss", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Harglet", Sapphire
"nEtKeEpEr", Sapphire
"1Hbandit", Sapphire
"DI8S", Sapphire
"Optimel", Sapphire
"SmokeDatZaZa", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Liq", Sapphire
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"IronNemoko", RedTopaz
"SkippyKitty", RedTopaz
"GIM Jxcob", RedTopaz
"NeutralBob", RedTopaz
