"Reporting U ", Soul
"LivEviL K ", Blood
"Letharg ", Death
"Squampton ", Death
"grn bussin ", Death
"LimeFIT ", Onyx
"FerrumElite ", Onyx
"Ramir ", Onyx
"xPandi ", Onyx
"erknn ", Onyx
"BlazedMilk ", Dragonstone
"BigBobOakley ", Dragonstone
"Addict4269 ", Dragonstone
"Catalystt ", Dragonstone
"5tuns ", Dragonstone
"Marsh Kebab ", Dragonstone
"DottyBirdGIM ", Dragonstone
"WsInTheShat ", Dragonstone
"7800X3D ", Diamond
"IM RuneHoon ", Diamond
"Avoids Sun ", Diamond
"gorlai ", Diamond
"m0nkf1sh ", Diamond
"Tauhdrik ", Diamond
"TheWr0ngname ", Diamond
"Mr Fortune ", Diamond
"g humbie ", Ruby
"Dizzy Pog ", Ruby
"AelvarB ", Ruby
"GIM Mawija ", Ruby
"Fe mowenthu ", Ruby
"FoxyPogDog ", Ruby
"ironpmb ", Ruby
"Rorkum ", Ruby
"Kyaandere", Emerald
"IronJethide ", Emerald
"Zerotonine ", Emerald
"CosmicStairs ", Emerald
"TooKlean ", Emerald
"Windows Grp ", Sapphire
"Disabled FE ", Sapphire
"IronTilx ", Sapphire
"Feyral ", Sapphire
"Jaegerjaqs ", Sapphire
"ghosttoy2 ", Sapphire
"Iron Revoka", Sapphire
"GIM Hasson ", Sapphire
"Junne ", Sapphire
"stefannemoko ", Sapphire
"Optimel ", Sapphire
"Kebab Flow ", Sapphire
"nEtKeEpEr ", Sapphire
"SmokeDatZaZa ", Sapphire
"GIM Tintti ", Sapphire
"Battle Boost ", Sapphire
"Complex Air ", Sapphire
"MrSlingshot ", Sapphire
"Kheldwin ", Sapphire
"Steely Lamb ", Sapphire
"GIM Lantti ", Sapphire
"Harglet ", Sapphire
"1Hbandit ", RedTopaz
"Smol Loan ", RedTopaz
"SkippyKitty ", RedTopaz
"BobUnlimited ", RedTopaz
"Foxys", RedTopaz
"IronNemoko ", RedTopaz
"DI8S ", RedTopaz
