"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"grn bussin", Death
"Addict4269", Zenyte
"IM Pandi", Zenyte
"Ramir", Zenyte
"LimeFIT", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"Catalystt", Onyx
"BlazedMilk", Onyx
"Tauhdrik", Dragonstone
"Battle Boost", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"Wiizboom", Dragonstone
"WsInTheShat", Dragonstone
"Fresh Panty", Dragonstone
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"0liwn", Diamond
"g humbie", Diamond
"IronTilx", Diamond
"m0nkf1sh", Diamond
"Iron Revoka", Diamond
"Mr Fortune", Diamond
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Kebab Flow", Ruby
"Disabled FE", Ruby
"IronJethide", Ruby
"FoxyFrogDog", Ruby
"Kyaandere", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Fe Alighieri", Ruby
"IamIronStorm", Emerald
"Zerotonine", Emerald
"ghosttoy2", Emerald
"Steely Lamb", Emerald
"PancakePoet", Emerald
"Junne", Emerald
"TooKlean", Emerald
"rat eggy", Sapphire
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"GIM Tintti", Sapphire
"Harglet", Sapphire
"Optimel", Sapphire
"GIM Lantti", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"im2ndss", Sapphire
"Complex Air", Sapphire
"1Hbandit", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"DI8S", Sapphire
"GIM Liq", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
"WarmDogShit", RedTopaz
"NeutralBob", RedTopaz
