"LivEviL K", Blood
"Letharg", Death
"grn bussin", Death
"Squampton", Death
"Addict4269", Zenyte
"Ramir", Zenyte
"IM Pandi", Zenyte
"LimeFIT", Onyx
"erknn", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"Tauhdrik", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Battle Boost", Diamond
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"0liwn", Diamond
"m0nkf1sh", Diamond
"g humbie", Diamond
"Mr Fortune", Diamond
"Iron Revoka", Diamond
"IronTilx", Diamond
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Foxys", Ruby
"IronJethide", Ruby
"Disabled FE", Ruby
"Kyaandere", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Kebab Flow", Emerald
"Zerotonine", Emerald
"ghosttoy2", Emerald
"PancakePoet", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Steely Lamb", Sapphire
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"IamIronStorm", Sapphire
"Optimel", Sapphire
"Harglet", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Tintti", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Lantti", Sapphire
"1Hbandit", Sapphire
"DI8S", Sapphire
"MlLFuker", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
"WarmDogShit", RedTopaz
