"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"addict4242", Zenyte
"IM Pandi", Zenyte
"Ramir", Zenyte
"erknn", Onyx
"LimeFIT", Onyx
"BigBobOakley", Onyx
"Fe ndrs", Onyx
"Catalystt", Onyx
"Battle Boost", Onyx
"Tauhdrik", Onyx
"BlazedMilk", Onyx
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Fresh Panty", Dragonstone
"7800X3D", Diamond
"0liwn", Diamond
"IronTilx", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"m0nkf1sh", Diamond
"g humbie", Diamond
"Iron Revoka", Diamond
"Mr Fortune", Diamond
"GIM Mawija", Diamond
"Fe mowenthu", Diamond
"Kebab Flow", Ruby
"Disabled FE", Ruby
"IronJethide", Ruby
"IamIronStorm", Ruby
"Kyaandere", Ruby
"Fe Alighieri", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Zerotonine", Emerald
"ghosttoy2", Emerald
"Steely Lamb", Emerald
"PancakePoet", Emerald
"rat eggy", Emerald
"GIM Tintti", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"GIM Lantti", Sapphire
"Harglet", Sapphire
"Optimel", Sapphire
"im2ndss", Sapphire
"nEtKeEpEr", Sapphire
"1Hbandit", Sapphire
"SmokeDatZaZa", Sapphire
"DI8S", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Liq", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"F larp", RedTopaz
"IronNemoko", RedTopaz
"GIM Jxcob", RedTopaz
"NeutralBob", RedTopaz
