"LivEviL K", Blood
"Letharg", Death
"grn bussin", Death
"Squampton", Death
"Ramir", Onyx
"Addict4269", Onyx
"LimeFIT", Onyx
"erknn", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"Tauhdrik", Dragonstone
"7800X3D", Diamond
"Dizzy Pog", Diamond
"TheWr0ngname", Diamond
"m0nkf1sh", Diamond
"0liwn", Diamond
"Mr Fortune", Diamond
"g humbie", Diamond
"Battle Boost", Diamond
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Flarpology", Ruby
"IronTilx", Ruby
"Kyaandere", Ruby
"IronJethide", Ruby
"Iron Revoka", Ruby
"ironpmb", Ruby
"Disabled FE", Ruby
"Rorkum", Ruby
"GIM Hasson", Emerald
"Zerotonine", Emerald
"Kebab Flow", Emerald
"ghosttoy2", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"Steely Lamb", Sapphire
"Optimel", Sapphire
"nEtKeEpEr", Sapphire
"Harglet", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Tintti", Sapphire
"Complex Air", Sapphire
"IamIronStorm", Sapphire
"MrSlingshot", Sapphire
"Kheldwin", Sapphire
"GIM Lantti", Sapphire
"1Hbandit", Sapphire
"DI8S", RedTopaz
"MlLFuker", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
