"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"Ramir", Zenyte
"LimeFIT", Onyx
"Catalystt", Onyx
"BlazedMilk", Onyx
"Tauhdrik", Dragonstone
"Marsh Kebab", Dragonstone
"Dizzy Pog", Diamond
"0liwn", Diamond
"g humbie", Diamond
"m0nkf1sh", Diamond
"Mr Fortune", Diamond
"GIM Mawija", Ruby
"Disabled FE", Ruby
"Kyaandere", Ruby
"Rorkum", Ruby
"ghosttoy2", Emerald
"PancakePoet", Emerald
"Steely Lamb", Emerald
"rat eggy", Sapphire
"Optimel", Sapphire
"nEtKeEpEr", Sapphire
"GIM Tintti", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Lantti", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"1Hbandit", Sapphire
"DI8S", Sapphire
"MlLFuker", RedTopaz
"BobUnlimited", RedTopaz
"GIM Liq", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"IronNemoko", RedTopaz
"F larp", RedTopaz
